layer,metric,mean_valid,std_valid,mean_hallucination,std_hallucination,cohens_d,p_value_raw,p_value_corrected,significant
15,Entropy,1.7362935591225672,0.16251344939816476,1.8242205445028286,0.1540451040190498,0.5442486979464733,4.5484320155269144e-18,1.039641603549009e-17,True
16,Entropy,1.7572475715117022,0.16662645729421685,1.856130839666862,0.1626173583488296,0.5949404805652289,1.3265970032163207e-19,3.5375920085768554e-19,True
17,Entropy,1.815850185806101,0.1560686269513912,1.9059034195659,0.1328407775190943,0.5868905731017346,8.61961285372662e-23,3.064751236880576e-22,True
18,Entropy,1.8314074824554751,0.182140137477212,1.9461692291646666,0.14967075585054287,0.6429028038840208,2.367306308325525e-24,9.4692252333021e-24,True
19,Entropy,1.687844020369077,0.2163642570949662,1.8553159508416661,0.1734085623826365,0.7914755879755806,1.3181542464414637e-35,8.436187177225367e-35,True
20,Entropy,1.713378246745678,0.21152393878810913,1.8809810787757522,0.14807363735570164,0.8183657371158415,4.353706139369914e-39,4.6439532153279083e-38,True
21,Entropy,1.5609226324642547,0.1764610564603921,1.6992542934587418,0.13513943635674688,0.804519978867072,3.0440145356553187e-37,2.435211628524255e-36,True
22,Entropy,1.7460422561024174,0.19512444531323872,1.8262937344690235,0.1515321466654269,0.4216322229977948,1.8385223152906578e-11,3.460747887605944e-11,True
23,Entropy,1.4709042441062252,0.21513539970269552,1.6378151653500215,0.17242263751441858,0.7933304250834478,6.436141708842127e-34,3.432608911382468e-33,True
24,Entropy,1.7090016409604236,0.1757008487166441,1.7971762707224945,0.12406600392448673,0.5180227904670319,4.672285596296154e-15,9.967542605431795e-15,True
25,Entropy,1.872417752489899,0.1633188808609661,1.9797621575114566,0.11787479716212765,0.6774557148025326,8.297237559295592e-28,3.793022884249414e-27,True
26,Entropy,2.088231819205814,0.1373396948005175,2.139723020092024,0.10284057064710622,0.38542156124032423,9.026688926239118e-10,1.4874064972885413e-09,True
27,Entropy,1.9611957492250385,0.1597636942823251,2.0531688546795013,0.11578653485833165,0.5931937663014728,5.90265120611328e-20,1.717134896323863e-19,True
28,Entropy,1.8862202441451525,0.11049810181625644,1.9189232239943805,0.10079506304976976,0.29896463083484653,2.2953294580831966e-07,3.1935018547244474e-07,True
29,Entropy,2.2239832627652873,0.1192066578554267,2.2779540252006774,0.07898596341446282,0.4692004813295193,5.338748849720688e-12,1.0677497699441376e-11,True
30,Entropy,2.376049003095338,0.07385797611242771,2.331975437992408,0.07792841285382827,-0.592315807172688,1.4961779016955094e-19,3.6828994503274077e-19,True
31,Entropy,3.0760281533905953,0.1849961023993214,2.9126695305427197,0.15329335112547426,-0.9003543928999354,2.8396360067346774e-42,4.543417610775484e-41,True
